time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:56:57.238656,53.0000000000,-78.6965902000,35.7274039000,24.9910000000,-0.0548154674,0.0055002677,-0.1881594360,1.8200000000,-4.6600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,226.5658185300,0.0000000000,0.0000000000
2026-01-28 16:56:58.242175,54.0000000000,-78.6966415000,35.7274203000,24.9980000000,-0.0198833272,0.0008180924,-0.0987836048,1.7400000000,-4.4500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,231.5657821781,0.0000000000,0.0000000000
2026-01-28 16:56:59.246336,55.0000000000,-78.6966856000,35.7274344000,24.9990000000,0.0164815374,-0.0012934553,0.0072289864,1.3000000000,-3.3800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,236.5689447859,0.0000000000,0.0000000000
2026-01-28 16:57:00.725464,56.0000000000,-78.6967242000,35.7274465000,25.0050000000,0.0538763590,0.0015302635,0.1325247288,0.4000000000,-1.0900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,56.6086437582,,244.1943088843,56.6086437582,868.5888776651
2026-01-28 16:57:01.727912,57.0000000000,-78.6967296000,35.7274481000,25.0060000000,0.0210120995,-0.0015785212,0.0565462597,0.0000000000,-0.0200000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,44.0458261280,,247.9238953683,44.0458261280,675.8281446512
2026-01-28 16:57:02.730519,58.0000000000,-78.6967281000,35.7274478000,25.0030000000,0.0024084137,-0.0021825752,0.0054140468,-0.0700000000,0.2000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,31.4810129799,,251.6540742716,31.4810129799,483.0367929109
2026-01-28 16:57:03.732783,59.0000000000,-78.6967288000,35.7274477000,25.0000000000,-0.0668672323,0.0080113625,-0.2947195172,0.2100000000,-1.0100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,18.9204988574,,255.3829769017,18.9204988574,290.3114043431
2026-01-28 16:57:04.739081,60.0000000000,-78.6967531000,35.7274522000,25.0040000000,-0.0757221207,0.0113079688,-0.3574408293,0.8000000000,-3.4600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,6.3094326865,,259.1268871712,6.3094326865,96.8103577841
2026-01-28 16:57:05.741612,61.0000000000,-78.6967993000,35.7274611000,25.0080000000,-0.0374395698,-0.0009046774,-0.2245033383,1.0600000000,-4.5600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,52.8940786992,,264.1735300203,52.8940786992,1192.5961806705
2026-01-28 16:57:07.746823,62.0000000000,-78.6969066000,35.7274813000,24.9980000000,-0.0324155241,-0.0017741228,-0.2120501548,1.1100000000,-4.9200000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,47.3944797829,,273.1135350407,47.3944797829,924.9328945137
2026-01-28 16:57:08.752660,63.0000000000,-78.6969618000,35.7274916000,25.0000000000,-0.0309233759,-0.0020671564,-0.2045965344,1.1200000000,-4.9400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,32.7842441400,,275.8529542237,32.7842441400,639.8050145455
2026-01-28 16:57:09.758558,64.0000000000,-78.6970224000,35.7275029000,25.0010000000,-0.0304654054,-0.0023264301,-0.2005811781,1.1000000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,18.1731234906,,278.5925393455,18.1731234906,354.6598631203
2026-01-28 16:57:10.760371,65.0000000000,-78.6970766000,35.7275131000,25.0040000000,-0.0312991031,-0.0026091505,-0.2019957155,1.1000000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,3.6213391872,,281.3209989024,3.6213391872,70.6726975753
