time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:57:05.242541,0,172.16.0.1:,254,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,255,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,256,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,257,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,258,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,259,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,260,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,261,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,262,0,0.0
2026-01-28 16:57:05.242541,64,172.16.0.1:,263,64,1329.0
2026-01-28 16:57:05.560620,64,172.16.0.1:,264,64,1443.0
2026-01-28 16:57:06.603621,0,172.16.0.1:,265,0,0.0
2026-01-28 16:57:06.603621,0,172.16.0.1:,266,0,0.0
2026-01-28 16:57:06.603621,0,172.16.0.1:,267,0,0.0
2026-01-28 16:57:06.603621,0,172.16.0.1:,268,0,0.0
2026-01-28 16:57:06.603621,0,172.16.0.1:,269,0,0.0
2026-01-28 16:57:06.603621,64,172.16.0.1:,270,64,1249.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,271,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,272,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,273,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,274,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,275,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,276,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,277,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,278,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,279,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,280,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,281,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,282,0,0.0
